link,post_id,response,title
https://medium.freecodecamp.org/10-takeaways-from-22-data-visualization-practitioners-at-openvisconf-a4a3a5b96fcd?source=tag_archive---------0----------------,a4a3a5b96fcd,6,10 Takeaways from 22 Data Visualization Practitioners at #OpenVisConf
https://medium.com/@acadiagoodmanwilson/on-the-way-out-f6812911098?source=tag_archive---------1----------------,f6812911098,4,ON the way out!We are in the areplane & we are on our way to Costa Rica!! Bothe of our flites are 3 hours! We are so excited! On the areplanes I think about the donuts we had for breckfast! I had a glazed donut! Mom had a chocolate & Dad had a buttermilk! But dad is going to be on a plane next weeck.
https://medium.com/@UdacityINDIA/from-a-regular-tech-job-to-a-cutting-edge-data-science-career-the-soumya-ranjan-mohanty-story-d60f7c326f72?source=tag_archive---------0----------------,d60f7c326f72,1,From a regular tech job to a cutting-edge data science career — the Soumya Ranjan Mohanty story
https://medium.com/the-data-logs/what-do-you-want-to-learn-know-9a7b06e4815e?source=tag_archive---------2----------------,9a7b06e4815e,1,What do YOU want to learn/know?Hey everyone! I’m really sorry about my absence in April. It was a crazy month for me and I had to move. But I’m still learning data science. But enough about me! Today I have a request from you. I want to know what data science topic or thing related to my journey do you…
https://medium.freecodecamp.org/we-asked-15-000-people-who-they-are-and-how-theyre-learning-to-code-4104e29b2781?source=tag_archive---------0----------------,4104e29b2781,53,"We asked 15,000 people who they are, and how they’re learning to code"
https://medium.com/@RobinCRLee/review-on-columbia-qmss-ma-program-d22c0db2f0d7?source=tag_archive---------1----------------,d22c0db2f0d7,3,"Review on Columbia QMSS MA ProgramIt’s been three months since I began the MA in Quantitative Methods in the Social Sciences. I’d like to review the curriculum structure, courses I’ve taken,curriculum/degree requirement"
https://medium.com/lightspeed-venture-partners/everstrings-vincent-yang-x-man-at-work-2c3399aa5655?source=tag_archive---------2----------------,2c3399aa5655,2,"EverString’s Vincent Yang: X-man at WorkAt Lightspeed, we talk a lot about entrepreneurs that have the “X-factor.” The X-factor…"
https://newsletter.jupyter.org/jupyter-newsletter-2-march-30-e73bdefd185f?source=tag_archive---------4----------------,e73bdefd185f,1,"Jupyter Newsletter 2 • March 30, 2016JupyterDays Boston recapOur latest collaborative event, JupyterDays Boston, brought out over 100 people for two days (March 17–18, 2016) to learn and share their enthusiasm for Jupyter. Day one consisted of various…"
https://medium.com/edtech-trends/changing-the-world-one-byte-at-the-time-673045799cbd?source=tag_archive---------6----------------,673045799cbd,1,"Changing the World One Byte at the TimeData Scientists are the rock stars of the tech world, and…"
https://medium.com/@5agado/a-quest-for-better-sleep-with-fitbit-data-analysis-5f10b3f548a?source=tag_archive---------0----------------,5f10b3f548a,3,"A Quest for Better Sleep with Fitbit Data AnalysisFirst thing first: the data.Kind of a pointless quest if I’m not able to get my hands on my Fitbit data; like the armor for a naked hero going to battle, I would not even stand up from the couch without it, and I actually feared to be in…"
https://medium.com/@ryangtanaka/artificial-intelligence-driven-by-data-not-intelligence-fbf244b41381?source=tag_archive---------0----------------,fbf244b41381,1,"Artificial Intelligence: Driven by Data, Not CodeIn the ever-forward-looking world of the Silicon Valley, lately there’s been a lot of hype surrounding the use of AI and machine learning processes in order to build the next generation of software products and features — with Google’s…"
https://blog.exploratory.io/introducing-exploratory-desktop-ui-for-r-895d94ef3b7b?source=tag_archive---------0----------------,895d94ef3b7b,2,"Introducing Exploratory Desktop — UI for Rdplyr is amazing. I immediately fell in love with it when I encountered for the first time because each command interface was simple and beautiful, its use of ‘pipe’ made the data analysis pipeline readable for anybody, and the functionality it provided…"
https://medium.com/@tyreus/could-we-crowdsource-seasonal-allergy-relief-f7ff393b363?source=tag_archive---------2----------------,f7ff393b363,2,Could We Crowdsource Seasonal Allergy Relief?How my battle with symptoms led me to build hayfever.io.
https://medium.com/@dleybzon/why-ticketmaster-should-implement-a-geography-based-pricing-model-e7f42582b80f?source=tag_archive---------3----------------,e7f42582b80f,1,Why TicketMaster should implement a geography-based pricing modelMy experience from DataFest 2016
https://medium.freecodecamp.org/we-asked-15-000-people-who-they-are-and-how-theyre-learning-to-code-4104e29b2781?source=tag_archive---------0----------------,4104e29b2781,53,"We asked 15,000 people who they are, and how they’re learning to code"
https://medium.com/@jamesheathers/the-grim-test-a-method-for-evaluating-published-research-9a4e5f05e870?source=tag_archive---------1----------------,9a4e5f05e870,14,The GRIM test — a method for evaluating published research.HEADER NOTE: My follow-up piece to the below is now **here**.HEADER NOTE: My new technique SPRITE is **here**.
https://medium.com/@kasiarachuta/reading-and-writingexcel-files-in-python-pandas-8f0da449cc48?source=tag_archive---------2----------------,8f0da449cc48,4,"Reading and writingExcel files in Python pandasIn data science, you are very likely to mostly work with CSV files. However, knowing how to import and export Excel files is also very useful."
https://medium.com/@kasiarachuta/basic-statistics-in-pandas-dataframe-594208074f85?source=tag_archive---------3----------------,594208074f85,1,"Basic statistics in pandas DataFrameOnce you have cleaned your data, you probably want to run some basic statistics and calculations on your pandas DataFrame. It is really easy. Below I show some of the most common and basic statistics that you may want to use — there is a whole lot more to explore!"
