user_id,post_id,bio,facebookAccountId,name,twitterScreenName,username,group_medium
28748480e8bd,"34ea83205de4, 384cad851cf7","Senior Vice President, Salesforce. Entrepreneur, data scientist, startup advisor. Addicted to math, stats, computing, history and reading. https://goo.gl/RCgibt",10153291959411672,Rama Ramakrishnan,rama100,rama100,1
26395e0a0423,758b78f2736e,"Data Scientist @Spotify, Entrepreneur, Lifestyle experimenter, and Music fan living in New York",933459886716206,Zach Chen,Zacheer,Zachzeyuchen,1
7d786edf956d,953a08248861,"Data Scientist, Machine Learning Explorer",708380415903499,Rajat Paliwal,,rajatpaliwal,1
b3de4fcfefe2,7b2979c6a000,"Data Scientist at Frontiers, a leading open-access publisher in Switzerland. I eat data for breakfast.",,Renaud Richardet,renaudrichardet,renaudr,1
fb045f379fc4,752c0ed6d378,Data Scientist living in Tokyo. http://adilmoujahid.com/,,Adil Moujahid,AdilMouja,AdilMouja,1
e3b587aff5fa,d106ca5d2c38,"Earth Data Scientist, highly interested in remote sensing applications to study vegetation-soils-climate interactions. Opinions are my own.",,Guillermo Ponce,guillermo_ponce,guillermo_ponce,1
1613f8dd9b20,"e85076c3b047, a3684c6f71e, 9a7a87ca6415",I’m a data scientist with an interest in the convergence between deep learning and recommender systems.,,Even Oldridge,,mr.acle,1
43017c014c49,"f9483f3ab7e3, 3f445d421dff","Data Scientist. I also like to run, do crossword puzzles, and spend time with family - not at the same time",,peter mcnally,mcnallypeterj,mcnallypeterj,1
bdd1335dfbd,1cff055d3a5f,"Founder, Researcher, Decision Engineer, Data Scientist; PhD in systems engineering, control of networks.",10100754331265896,Michael Zargham,mZargham,michaelzargham,1
8c63d227f5ad,18ceaa5452fe,Data Scientist at Studio 60 group. I do research on Data driven decision making and data analytics,10210259051814954,Shazmin Marikar,,shazmin.marikar,1
fac2dff7460e,7b966affe82b,Principal and Data Scientist at Gamma BCG (The Boston Consulting Group),,Emilio Lapiello,EmilioLapiello,emilio.lapiello,1
faa0c7f2f6fc,"e45e40ef7d48, e45e40ef7d48, 6a8fdd4a3904",Data Scientist. Check out my blog at datameetsmedia.com,,Pio Calderon,,piocalderon,1
eb9b170307d2,"41801c2210b, 41801c2210b","Avid CrossFitter @Crossfit of Fremont, Data Scientist, Beer Lover, Adrenaline Junkie",,Ankit Arya,,ankit.10arya,1
42c9ad5dc721,b01051d07494,"Data Scientist, INTP",,Nishant Babel,,nishant.babel,1
9128e3216a5c,2ab02396cf5b,Data scientist @scopely,10102216348861047,Jan Florjanczyk,,janplus,1
7157da36f2e4,3da06bea9f6c,Principal Data Scientist at Knowledgent. Knowledgent is a data intelligence company that innovates IN and THROUGH data.,10150931003974946,Alberto Artasanchez,aartasanchez,albertoartasanchez,1
7c108a3560d9,"6131bf80dd75, ec0d8afc4658",Recovering academic. Austin data scientist working in healthcare analytics. Teetotal vegan cyclist.,,Jake Westfall,CookieSci,CookieSci,1
4df2603e7cc3,2ad2eeb189e8,"data scientist & geek passionate about data driven problem solving | love travelling, reading, trekking and photography.",,Deepak Babu P R,prdeepakbabu,prdeepak.babu,1
13088e5af38b,"367305712e8c, 93285ca07cf0, 906faa58e12d, b7bf3ec37450, 58f636fa5c97, e82273d394db, 6393cbf407af, 6393cbf407af, 46b4f14e5127, 3b7a89de107b, a596fd61cd55, a4a906ab64b0",Let’s talk about why you should hire me. Social Scientist meets Data Scientist. Bridging theory with data in adivisive world.,,Josiah Parry,JosiahParry,JosiahParry,1
286fb8aea313,"8b31b0b16a07, a70687977bd7","Data scientist, Pythonista",10211757510953780,Elior Cohen,,eliorcohen,1
c6ab8048de41,"c639ccf36a, f94ddb788a5e, 8988fcbb0ed2, 4287feb15395, 24aee2709e32, 24aee2709e32, fe89e12ffbd3, 8ab3f23bc325, 758215394769, ffdf020062dd, 4227c5c457d7, 4b5b39bbdb5d, 54ab8f3e5873, 4461cc93f8c1, f0d708861334, 1a27e6d13fc6, e82273d394db, a02fb728a708, 7370ec462e2e, 153b6ade9f66, 349f6d30418, 2421076a5892, be195f35366e","Data scientist, public speaker, science communicator, mathematician and sports enthusiast.",10159827460210322,Jonny Brooks-Bartlett,Jonny_CBB,jonnybrooks04,1
